ID;Path;Slice Name;Alias(s);Label;Min;Max;Must Support?;Is Modifier?;Is Summary?;Type(s);Short;Definition;Comments;Requirements;Default Value;Meaning When Missing;Fixed Value;Pattern;Example;Minimum Value;Maximum Value;Maximum Length;Binding Strength;Binding Description;Binding Value Set;Code;Slicing Discriminator;Slicing Description;Slicing Ordered;Slicing Rules;Base Path;Base Min;Base Max;Condition(s);Constraint(s);Mapping: Workflow Pattern;Mapping: FiveWs Pattern Mapping;Mapping: RIM Mapping;Mapping: Object Implementation Information
TestScript.metadata.capability.modifierExtension;TestScript.metadata.capability.modifierExtension;;"extensions
user contentmodifiers";;0;*;;Y;Y;"Extension
";Extensions that cannot be ignored even if unrecognized;"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).";There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.;Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](extensibility.html#modifierExtension).;;;;;;;;;;;;;;;;;BackboneElement.modifierExtension;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;N/A;
TestScript.metadata.capability.required;TestScript.metadata.capability.required;;;;1;1;;;;"boolean
";Are the capabilities required?;Whether or not the test execution will require the given capabilities of the server in order for this test script to execute.;;;;;;;;;;;;;;;;;;;TestScript.metadata.capability.required;1;1;"tst-4
";"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.metadata.capability.validated;TestScript.metadata.capability.validated;;;;1;1;;;;"boolean
";Are the capabilities validated?;Whether or not the test execution will validate the given capabilities of the server in order for this test script to execute.;;;;;;;;;;;;;;;;;;;TestScript.metadata.capability.validated;1;1;"tst-4
";"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.metadata.capability.description;TestScript.metadata.capability.description;;;;0;1;;;;"string
";The expected capabilities of the server;Description of the capabilities that this test script is requiring the server to support.;;;;;;;;;;;;;;;;;;;TestScript.metadata.capability.description;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.metadata.capability.origin;TestScript.metadata.capability.origin;;;;0;*;;;;"integer
";Which origin server these requirements apply to;Which origin server these requirements apply to.;;;;;;;;;;;;;;;;;;;TestScript.metadata.capability.origin;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.metadata.capability.destination;TestScript.metadata.capability.destination;;;;0;1;;;;"integer
";Which server these requirements apply to;Which server these requirements apply to.;;;;;;;;;;;;;;;;;;;TestScript.metadata.capability.destination;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.metadata.capability.link;TestScript.metadata.capability.link;;;;0;*;;;;"uri
";Links to the FHIR specification;Links to the FHIR specification that describes this interaction and the resources involved in more detail.;;;;;;;;;;;;;;;;;;;TestScript.metadata.capability.link;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.metadata.capability.capabilities;TestScript.metadata.capability.capabilities;;;;1;1;;;;"canonical(CapabilityStatement)
";Required Capability Statement;Minimum capabilities required of server for test script to execute successfully.   If server does not meet at a minimum the referenced capability statement, then all tests in this script are skipped.;The conformance statement of the server has to contain at a minimum the contents of the reference pointed to by this element.;;;;;;;;;;;;;;;;;;TestScript.metadata.capability.capabilities;1;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.scope;TestScript.scope;;;;0;*;;;;"BackboneElement
";Indication of the artifact(s) that are tested by this test case;The scope indicates a conformance artifact that is tested by the test(s) within this test case and the expectation of the test outcome(s) as well as the intended test phase inclusion.;;;;;;;;;;;;;;;;;;;TestScript.scope;0;*;;"ele-1:All FHIR elements must have a @value or children or both {hasValue() or (children().count() > id.count())}
";;;;
TestScript.scope.id;TestScript.scope.id;;;;0;1;;;;"string
";Unique id for inter-element referencing;Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.;;;;;;;;;;;;;;;;;;;Element.id;0;1;"ele-1
";;;;n/a;
TestScript.scope.extension;TestScript.scope.extension;;"extensions
user content";;0;*;;;;"Extension
";Additional content defined by implementations;May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.;There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.;;;;;;;;;;;;;;;;;;Element.extension;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;n/a;
TestScript.scope.modifierExtension;TestScript.scope.modifierExtension;;"extensions
user contentmodifiers";;0;*;;Y;Y;"Extension
";Extensions that cannot be ignored even if unrecognized;"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).";There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.;Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](extensibility.html#modifierExtension).;;;;;;;;;;;;;;;;;BackboneElement.modifierExtension;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;N/A;
TestScript.scope.artifact;TestScript.scope.artifact;;;;1;1;;;;"canonical(Resource)
";The specific conformance artifact being tested;The specific conformance artifact being tested. The canonical reference can be version-specific.;;;;;;;;;;;;;;;;;;;TestScript.scope.artifact;1;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.scope.conformance;TestScript.scope.conformance;;;;0;1;;;;"CodeableConcept
";required | optional | strict;The expectation of whether the test must pass for the system to be considered conformant with the artifact: required - all tests are expected to pass, optional - all test are expected to pass but non-pass status may be allowed, strict - all tests are expected to pass and warnings are treated as a failure.;;;;required;;;;;;;extensible;The expectation of whether the test must pass for the system to be considered conformant with the artifact.;http://hl7.org/fhir/ValueSet/testscript-scope-conformance-codes;;;;;;TestScript.scope.conformance;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.scope.phase;TestScript.scope.phase;;;;0;1;;;;"CodeableConcept
";unit | integration | production;The phase of testing for this artifact: unit - development / implementation phase, integration - internal system to system phase, production - live system to system phase (Note, this may involve pii/phi data).;;;;unit;;;;;;;extensible;The phase of testing for this artifact.;http://hl7.org/fhir/ValueSet/testscript-scope-phase-codes;;;;;;TestScript.scope.phase;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.fixture;TestScript.fixture;;;;0;*;;;;"BackboneElement
";Fixture in the test script - by reference (uri);Fixture in the test script - by reference (uri). All fixtures are required for the test script to execute.;;;;;;;;;;;;;;;;;;;TestScript.fixture;0;*;;"ele-1:All FHIR elements must have a @value or children or both {hasValue() or (children().count() > id.count())}
";;;;
TestScript.fixture.id;TestScript.fixture.id;;;;0;1;;;;"string
";Unique id for inter-element referencing;Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.;;;;;;;;;;;;;;;;;;;Element.id;0;1;"ele-1
";;;;n/a;
TestScript.fixture.extension;TestScript.fixture.extension;;"extensions
user content";;0;*;;;;"Extension
";Additional content defined by implementations;May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.;There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.;;;;;;;;;;;;;;;;;;Element.extension;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;n/a;
TestScript.fixture.modifierExtension;TestScript.fixture.modifierExtension;;"extensions
user contentmodifiers";;0;*;;Y;Y;"Extension
";Extensions that cannot be ignored even if unrecognized;"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).";There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.;Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](extensibility.html#modifierExtension).;;;;;;;;;;;;;;;;;BackboneElement.modifierExtension;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;N/A;
TestScript.fixture.autocreate;TestScript.fixture.autocreate;;;;1;1;;;;"boolean
";Whether or not to implicitly create the fixture during setup;Whether or not to implicitly create the fixture during setup. If true, the fixture is automatically created on each server being tested during setup, therefore no create operation is required for this fixture in the TestScript.setup section.;;;;;;;;;;;;;;;;;;;TestScript.fixture.autocreate;1;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.fixture.autodelete;TestScript.fixture.autodelete;;;;1;1;;;;"boolean
";Whether or not to implicitly delete the fixture during teardown;Whether or not to implicitly delete the fixture during teardown. If true, the fixture is automatically deleted on each server being tested during teardown, therefore no delete operation is required for this fixture in the TestScript.teardown section.;;;;;;;;;;;;;;;;;;;TestScript.fixture.autodelete;1;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.fixture.resource;TestScript.fixture.resource;;;;0;1;;;;"Reference(Resource)
";Reference of the resource;Reference to the resource (containing the contents of the resource needed for operations). This is allowed to be a Parameters resource.;See the [Resource List](resourcelist.html) for complete list of resource types.;;;;;;;;;;;;;;;;;;TestScript.fixture.resource;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.profile;TestScript.profile;;;;0;*;;;;"canonical(StructureDefinition)
";Reference of the validation profile;Reference to the profile to be used for validation.;See the [Resource List](resourcelist.html) for complete list of resource types.;;;;;;;;;;;;;;;;;;TestScript.profile;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.variable;TestScript.variable;;;;0;*;;;;"BackboneElement
";Placeholder for evaluated elements;Variable is set based either on element value in response body or on header field value in the response headers.;"Variables would be set based either on XPath/JSONPath expressions against fixtures (static and response), or headerField evaluations against response headers. If variable evaluates to nodelist or anything other than a primitive value, then test engine would report an error.  Variables would be used to perform clean replacements in ""operation.params"", ""operation.requestHeader.value"", and ""operation.url"" element values during operation calls and in ""assert.value"" during assertion evaluations. This limits the places that test engines would need to look for placeholders ""${}"".  Variables are scoped to the whole script. They are NOT evaluated at declaration. They are evaluated by test engine when used for substitutions in ""operation.params"", ""operation.requestHeader.value"", and ""operation.url"" element values during operation calls and in ""assert.value"" during assertion evaluations.  See example testscript-search.xml.";;;;;;;;;;;;;;;;;;TestScript.variable;0;*;;"ele-1:All FHIR elements must have a @value or children or both {hasValue() or (children().count() > id.count())}
tst-3:Variable can only contain one of expression, headerField or path. {expression.empty() or headerField.empty() or path.empty()}";;;;
TestScript.variable.id;TestScript.variable.id;;;;0;1;;;;"string
";Unique id for inter-element referencing;Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.;;;;;;;;;;;;;;;;;;;Element.id;0;1;"ele-1
";;;;n/a;
TestScript.variable.extension;TestScript.variable.extension;;"extensions
user content";;0;*;;;;"Extension
";Additional content defined by implementations;May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.;There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.;;;;;;;;;;;;;;;;;;Element.extension;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;n/a;
TestScript.variable.modifierExtension;TestScript.variable.modifierExtension;;"extensions
user contentmodifiers";;0;*;;Y;Y;"Extension
";Extensions that cannot be ignored even if unrecognized;"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).";There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.;Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](extensibility.html#modifierExtension).;;;;;;;;;;;;;;;;;BackboneElement.modifierExtension;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;N/A;
TestScript.variable.name;TestScript.variable.name;;;;1;1;;;;"string
";Descriptive name for this variable;Descriptive name for this variable.;"Placeholders would contain the variable name wrapped in ${} in ""operation.params"", ""operation.requestHeader.value"", and ""operation.url"" elements.  These placeholders would need to be replaced by the variable value before the operation is executed.";;;;;;;;;;;;;;;;;;TestScript.variable.name;1;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.variable.defaultValue;TestScript.variable.defaultValue;;;;0;1;;;;"string
";Default, hard-coded, or user-defined value for this variable;A default, hard-coded, or user-defined value for this variable.;The purpose of this element is to allow for a pre-defined value that can be used as a default or as an override value. Test engines can optionally use this as a placeholder for user-defined execution time values.;;;;;;;;;;;;;;;;;;TestScript.variable.defaultValue;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.variable.description;TestScript.variable.description;;;;0;1;;;;"string
";Natural language description of the variable;A free text natural language description of the variable and its purpose.;;;;;;;;;;;;;;;;;;;TestScript.variable.description;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.variable.expression;TestScript.variable.expression;;;;0;1;;;;"string
";The FHIRPath expression against the fixture body;The FHIRPath expression for a specific value to evaluate against the fixture body. When variables are defined, only one of either expression, headerField or path must be specified.;If headerField is defined, then the variable will be evaluated against the headers that sourceId is pointing to.  If expression or path is defined, then the variable will be evaluated against the fixture body that sourceId is pointing to.  It is an error to define any combination of expression, headerField and path.;;;;;;;;;;;;;;;;;;TestScript.variable.expression;0;1;"tst-3
";"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.variable.headerField;TestScript.variable.headerField;;;;0;1;;;;"string
";HTTP header field name for source;Will be used to grab the HTTP header field value from the headers that sourceId is pointing to.;If headerField is defined, then the variable will be evaluated against the headers that sourceId is pointing to.  If path is defined, then the variable will be evaluated against the fixture body that sourceId is pointing to.  It is an error to define both headerField and path.;;;;;;;;;;;;;;;;;;TestScript.variable.headerField;0;1;"tst-3
";"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.variable.hint;TestScript.variable.hint;;;;0;1;;;;"string
";Hint help text for default value to enter;Displayable text string with hint help information to the user when entering a default value.;;;;;;;;;;;;;;;;;;;TestScript.variable.hint;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.variable.path;TestScript.variable.path;;;;0;1;;;;"string
";XPath or JSONPath against the fixture body;XPath or JSONPath to evaluate against the fixture body.  When variables are defined, only one of either expression, headerField or path must be specified.;If headerField is defined, then the variable will be evaluated against the headers that sourceId is pointing to.  If expression or path is defined, then the variable will be evaluated against the fixture body that sourceId is pointing to.  It is an error to define any combination of expression, headerField and path.;;;;;;;;;;;;;;;;;;TestScript.variable.path;0;1;"tst-3
";"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.variable.sourceId;TestScript.variable.sourceId;;;;0;1;;;;"id
";Fixture Id of source expression or headerField within this variable;Fixture to evaluate the XPath/JSONPath expression or the headerField  against within this variable.;This can be a statically defined fixture (at the top of the TestScript) or a dynamically set fixture created by responseId of the `action.operation` element.;;;;;;;;;;;;;;;;;;TestScript.variable.sourceId;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.setup;TestScript.setup;;;;0;1;;;;"BackboneElement
";A series of required setup operations before tests are executed;A series of required setup operations before tests are executed.;;;;;;;;;;;;;;;;;;;TestScript.setup;0;1;;"ele-1:All FHIR elements must have a @value or children or both {hasValue() or (children().count() > id.count())}
";;;;
TestScript.setup.id;TestScript.setup.id;;;;0;1;;;;"string
";Unique id for inter-element referencing;Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.;;;;;;;;;;;;;;;;;;;Element.id;0;1;"ele-1
";;;;n/a;
TestScript.setup.extension;TestScript.setup.extension;;"extensions
user content";;0;*;;;;"Extension
";Additional content defined by implementations;May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.;There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.;;;;;;;;;;;;;;;;;;Element.extension;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;n/a;
TestScript.setup.modifierExtension;TestScript.setup.modifierExtension;;"extensions
user contentmodifiers";;0;*;;Y;Y;"Extension
";Extensions that cannot be ignored even if unrecognized;"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).";There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.;Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](extensibility.html#modifierExtension).;;;;;;;;;;;;;;;;;BackboneElement.modifierExtension;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;N/A;
TestScript.setup.action;TestScript.setup.action;;;;0;*;;;;"BackboneElement
";A setup common or operation or assert to perform;Action would contain either a common or operation or an assertion.;An action should contain only one of either a common or operation or an assertion.  It can contain any number of variables.;;;;;;;;;;;;;;;;;;TestScript.setup.action;0;*;;"ele-1:All FHIR elements must have a @value or children or both {hasValue() or (children().count() > id.count())}
tst-1:Setup action SHALL contain only one of either a common or an operation or an assert. {common.exists() xor operation.exists() xor assert.exists()}";;;;
TestScript.setup.action.id;TestScript.setup.action.id;;;;0;1;;;;"string
";Unique id for inter-element referencing;Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.;;;;;;;;;;;;;;;;;;;Element.id;0;1;"ele-1
";;;;n/a;
TestScript.setup.action.extension;TestScript.setup.action.extension;;"extensions
user content";;0;*;;;;"Extension
";Additional content defined by implementations;May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.;There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.;;;;;;;;;;;;;;;;;;Element.extension;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;n/a;
TestScript.setup.action.modifierExtension;TestScript.setup.action.modifierExtension;;"extensions
user contentmodifiers";;0;*;;Y;Y;"Extension
";Extensions that cannot be ignored even if unrecognized;"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).";There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.;Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](extensibility.html#modifierExtension).;;;;;;;;;;;;;;;;;BackboneElement.modifierExtension;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;N/A;
TestScript.setup.action.common;TestScript.setup.action.common;;;;0;1;;;;"BackboneElement
";Links or references to common collection(s) of actions;Links or references to common collection(s) of actions in this or an external TestScript instance.;;;;;;;;;;;;;;;;;;;TestScript.setup.action.common;0;1;"tst-1
";"ele-1:All FHIR elements must have a @value or children or both {hasValue() or (children().count() > id.count())}
";;;;
TestScript.setup.action.common.id;TestScript.setup.action.common.id;;;;0;1;;;;"string
";Unique id for inter-element referencing;Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.;;;;;;;;;;;;;;;;;;;Element.id;0;1;"ele-1
";;;;n/a;
TestScript.setup.action.common.extension;TestScript.setup.action.common.extension;;"extensions
user content";;0;*;;;;"Extension
";Additional content defined by implementations;May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.;There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.;;;;;;;;;;;;;;;;;;Element.extension;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;n/a;
TestScript.setup.action.common.modifierExtension;TestScript.setup.action.common.modifierExtension;;"extensions
user contentmodifiers";;0;*;;Y;Y;"Extension
";Extensions that cannot be ignored even if unrecognized;"May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).";There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.;Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](extensibility.html#modifierExtension).;;;;;;;;;;;;;;;;;BackboneElement.modifierExtension;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;N/A;
TestScript.setup.action.common.testScript;TestScript.setup.action.common.testScript;;;;0;1;;;;"canonical(TestScript)
";Canonical reference to the common TestScript instance;Canonical reference providing traceability to the common TestScript instance containing the commonKey.;;;;;;;;;;;;;;;;;;;TestScript.setup.action.common.testScript;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.setup.action.common.keyRef;TestScript.setup.action.common.keyRef;;;;1;1;;;;"id
";Common key reference that identifies the common collection of actions to perform;Common key reference that identifies the common collection of actions to perform as defined the this or the common testScript.;;;;;;;;;;;;;;;;;;;TestScript.setup.action.common.keyRef;1;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.setup.action.common.parameter;TestScript.setup.action.common.parameter;;;;0;*;;;;"BackboneElement
";Parameter(s) to convey input values to the identified common collection of actions;Optional named parameter(s) to provide input values to the identified common collection of actions from this or an external TestScript.;;;;;;;;;;;;;;;;;;;TestScript.setup.action.common.parameter;0;*;;"ele-1:All FHIR elements must have a @value or children or both {hasValue() or (children().count() > id.count())}
";;;;
TestScript.setup.action.common.parameter.id;TestScript.setup.action.common.parameter.id;;;;0;1;;;;"string
";Unique id for inter-element referencing;Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.;;;;;;;;;;;;;;;;;;;Element.id;0;1;"ele-1
";;;;n/a;
TestScript.setup.action.common.parameter.extension;TestScript.setup.action.common.parameter.extension;;"extensions
user content";;0;*;;;;"Extension
";Additional content defined by implementations;May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.;There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.;;;;;;;;;;;;;;;;;;Element.extension;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;n/a;
